"player_num","round","outcome","opponent_num","opponent_pre_rating"
1,1,"W",39,1436
1,2,"W",21,1563
1,3,"W",18,1600
1,4,"W",14,1610
1,5,"W",7,1649
1,6,"D",12,1663
1,7,"D",4,1716
2,1,"W",63,1175
2,2,"W",58,917
2,3,"L",4,1716
2,4,"W",17,1629
2,5,"W",16,1604
2,6,"W",20,1595
2,7,"W",7,1649
3,1,"L",8,1641
3,2,"W",61,955
3,3,"W",25,1745
3,4,"W",21,1563
3,5,"W",11,1712
3,6,"W",13,1666
3,7,"W",12,1663
4,1,"W",23,1363
4,2,"D",28,1507
4,3,"W",2,1553
4,4,"W",26,1579
4,5,"D",5,1655
4,6,"W",19,1564
4,7,"D",1,1794
5,1,"W",45,1242
5,2,"W",37,980
5,3,"D",12,1663
5,4,"D",13,1666
5,5,"D",4,1716
5,6,"W",14,1610
5,7,"W",17,1629
6,1,"W",34,1399
6,2,"D",29,1602
6,3,"L",11,1712
6,4,"W",35,1438
6,5,"D",10,1365
6,6,"W",27,1552
6,7,"W",21,1563
7,1,"W",57,1092
7,2,"W",46,377
7,3,"W",13,1666
7,4,"W",11,1712
7,5,"L",1,1794
7,6,"W",9,1411
7,7,"L",2,1553
8,1,"W",3,1384
8,2,"W",32,1441
8,3,"L",14,1610
8,4,"L",9,1411
8,5,"W",47,1362
8,6,"W",28,1507
8,7,"W",19,1564
9,1,"W",25,1745
9,2,"L",18,1600
9,3,"W",59,853
9,4,"W",8,1641
9,5,"W",26,1579
9,6,"L",7,1649
9,7,"W",20,1595
10,1,"D",16,1604
10,2,"L",19,1564
10,3,"W",55,1186
10,4,"W",31,1494
10,5,"D",6,1686
10,6,"W",25,1745
10,7,"W",18,1600
11,1,"D",38,1423
11,2,"W",56,1153
11,3,"W",6,1686
11,4,"L",7,1649
11,5,"L",3,1384
11,6,"W",34,1399
11,7,"W",26,1579
12,1,"W",42,1332
12,2,"W",33,1449
12,3,"D",5,1655
12,4,"W",38,1423
12,6,"D",1,1794
12,7,"L",3,1384
13,1,"W",36,1355
13,2,"W",27,1552
13,3,"L",7,1649
13,4,"D",5,1655
13,5,"W",33,1449
13,6,"L",3,1384
13,7,"W",32,1441
14,1,"W",54,1270
14,2,"W",44,1199
14,3,"W",8,1641
14,4,"L",1,1794
14,5,"D",27,1552
14,6,"L",5,1655
14,7,"W",31,1494
15,1,"D",19,1564
15,2,"L",16,1604
15,3,"W",30,1522
15,4,"L",22,1555
15,5,"W",54,1270
15,6,"W",33,1449
15,7,"W",38,1423
16,1,"D",10,1365
16,2,"W",15,1220
16,4,"W",39,1436
16,5,"L",2,1553
16,6,"W",36,1355
17,1,"W",48,1382
17,2,"W",41,1403
17,3,"L",26,1579
17,4,"L",2,1553
17,5,"W",23,1363
17,6,"W",22,1555
17,7,"L",5,1655
18,1,"W",47,1362
18,2,"W",9,1411
18,3,"L",1,1794
18,4,"W",32,1441
18,5,"L",19,1564
18,6,"W",38,1423
18,7,"L",10,1365
19,1,"D",15,1220
19,2,"W",10,1365
19,3,"W",52,935
19,4,"D",28,1507
19,5,"W",18,1600
19,6,"L",4,1716
19,7,"L",8,1641
20,1,"L",40,1348
20,2,"W",49,1291
20,3,"W",23,1363
20,4,"W",41,1403
20,5,"W",28,1507
20,6,"L",2,1553
20,7,"L",9,1411
21,1,"W",43,1283
21,2,"L",1,1794
21,3,"W",47,1362
21,4,"L",3,1384
21,5,"W",40,1348
21,6,"W",39,1436
21,7,"L",6,1686
22,1,"W",64,1163
22,2,"D",52,935
22,3,"L",28,1507
22,4,"W",15,1220
22,6,"L",17,1629
22,7,"W",40,1348
23,1,"L",4,1716
23,2,"W",43,1283
23,3,"L",20,1595
23,4,"W",58,917
23,5,"L",17,1629
23,6,"W",37,980
23,7,"W",46,377
24,1,"L",28,1507
24,2,"L",47,1362
24,3,"W",43,1283
24,4,"L",25,1745
24,5,"W",60,967
24,6,"W",44,1199
24,7,"W",39,1436
25,1,"L",9,1411
25,2,"W",53,1393
25,3,"L",3,1384
25,4,"W",24,1229
25,5,"D",34,1399
25,6,"L",10,1365
25,7,"W",47,1362
26,1,"W",49,1291
26,2,"W",40,1348
26,3,"W",17,1629
26,4,"L",4,1716
26,5,"L",9,1411
26,6,"D",32,1441
26,7,"L",11,1712
27,1,"W",51,1011
27,2,"L",13,1666
27,3,"W",46,377
27,4,"W",37,980
27,5,"D",14,1610
27,6,"L",6,1686
28,1,"W",24,1229
28,2,"D",4,1716
28,3,"W",22,1555
28,4,"D",19,1564
28,5,"L",20,1595
28,6,"L",8,1641
28,7,"D",36,1355
29,1,"W",50,1056
29,2,"D",6,1686
29,3,"L",38,1423
29,4,"L",34,1399
29,5,"W",52,935
29,6,"W",48,1382
30,1,"L",52,935
30,2,"D",64,1163
30,3,"L",15,1220
30,4,"W",55,1186
30,5,"L",31,1494
30,6,"W",61,955
30,7,"W",50,1056
31,1,"L",58,917
31,2,"D",55,1186
31,3,"W",64,1163
31,4,"L",10,1365
31,5,"W",30,1522
31,6,"W",50,1056
31,7,"L",14,1610
32,1,"W",61,955
32,2,"L",8,1641
32,3,"W",44,1199
32,4,"L",18,1600
32,5,"W",51,1011
32,6,"D",26,1579
32,7,"L",13,1666
33,1,"W",60,967
33,2,"L",12,1663
33,3,"W",50,1056
33,4,"D",36,1355
33,5,"L",13,1666
33,6,"L",15,1220
33,7,"W",51,1011
34,1,"L",6,1686
34,2,"W",60,967
34,3,"L",37,980
34,4,"W",29,1602
34,5,"D",25,1745
34,6,"L",11,1712
34,7,"W",52,935
35,1,"L",46,377
35,2,"L",38,1423
35,3,"W",56,1153
35,4,"L",6,1686
35,5,"W",57,1092
35,6,"D",52,935
35,7,"W",48,1382
36,1,"L",13,1666
36,2,"W",57,1092
36,3,"W",51,1011
36,4,"D",33,1449
36,6,"L",16,1604
36,7,"D",28,1507
37,2,"L",5,1655
37,3,"W",34,1399
37,4,"L",27,1552
37,6,"L",23,1363
37,7,"W",61,955
38,1,"D",11,1712
38,2,"W",35,1438
38,3,"W",29,1602
38,4,"L",12,1663
38,6,"L",18,1600
38,7,"L",15,1220
39,1,"L",1,1794
39,2,"W",54,1270
39,3,"W",40,1348
39,4,"L",16,1604
39,5,"W",44,1199
39,6,"L",21,1563
39,7,"L",24,1229
40,1,"W",20,1595
40,2,"L",26,1579
40,3,"L",39,1436
40,4,"W",59,853
40,5,"L",21,1563
40,6,"W",56,1153
40,7,"L",22,1555
41,1,"W",59,853
41,2,"L",17,1629
41,3,"W",58,917
41,4,"L",20,1595
42,1,"L",12,1663
42,2,"L",50,1056
42,3,"L",57,1092
42,4,"D",60,967
42,5,"D",61,955
42,6,"W",64,1163
42,7,"W",56,1153
43,1,"L",21,1563
43,2,"L",23,1363
43,3,"L",24,1229
43,4,"W",63,1175
43,5,"W",59,853
43,6,"L",46,377
43,7,"W",55,1186
44,2,"L",14,1610
44,3,"L",32,1441
44,4,"W",53,1393
44,5,"L",39,1436
44,6,"L",24,1229
44,7,"W",59,853
45,1,"L",5,1655
45,2,"L",51,1011
45,3,"D",60,967
45,4,"L",56,1153
45,5,"W",63,1175
45,6,"D",55,1186
45,7,"W",58,917
46,1,"W",35,1438
46,2,"L",7,1649
46,3,"L",27,1552
46,4,"L",50,1056
46,5,"W",64,1163
46,6,"W",43,1283
46,7,"L",23,1363
47,1,"L",18,1600
47,2,"W",24,1229
47,3,"L",21,1563
47,4,"W",61,955
47,5,"L",8,1641
47,6,"D",51,1011
47,7,"L",25,1745
48,1,"L",17,1629
48,2,"W",63,1175
48,4,"D",52,935
48,6,"L",29,1602
48,7,"L",35,1438
49,1,"L",26,1579
49,2,"L",20,1595
49,3,"D",63,1175
49,4,"D",64,1163
49,5,"W",58,917
50,1,"L",29,1602
50,2,"W",42,1332
50,3,"L",33,1449
50,4,"W",46,377
50,6,"L",31,1494
50,7,"L",30,1522
51,1,"L",27,1552
51,2,"W",45,1242
51,3,"L",36,1355
51,4,"W",57,1092
51,5,"L",32,1441
51,6,"D",47,1362
51,7,"L",33,1449
52,1,"W",30,1522
52,2,"D",22,1555
52,3,"L",19,1564
52,4,"D",48,1382
52,5,"L",29,1602
52,6,"D",35,1438
52,7,"L",34,1399
53,2,"L",25,1745
53,4,"L",44,1199
53,6,"W",57,1092
54,1,"L",14,1610
54,2,"L",39,1436
54,3,"L",61,955
54,5,"L",15,1220
54,6,"L",59,853
54,7,"W",64,1163
55,1,"L",62,1530
55,2,"D",31,1494
55,3,"L",10,1365
55,4,"L",30,1522
55,6,"D",45,1242
55,7,"L",43,1283
56,2,"L",11,1712
56,3,"L",35,1438
56,4,"W",45,1242
56,6,"L",40,1348
56,7,"L",42,1332
57,1,"L",7,1649
57,2,"L",36,1355
57,3,"W",42,1332
57,4,"L",51,1011
57,5,"L",35,1438
57,6,"L",53,1393
58,1,"W",31,1494
58,2,"L",2,1553
58,3,"L",41,1403
58,4,"L",23,1363
58,5,"L",49,1291
58,7,"L",45,1242
59,1,"L",41,1403
59,3,"L",9,1411
59,4,"L",40,1348
59,5,"L",43,1283
59,6,"W",54,1270
59,7,"L",44,1199
60,1,"L",33,1449
60,2,"L",34,1399
60,3,"D",45,1242
60,4,"D",42,1332
60,5,"L",24,1229
61,1,"L",32,1441
61,2,"L",3,1384
61,3,"W",54,1270
61,4,"L",47,1362
61,5,"D",42,1332
61,6,"L",30,1522
61,7,"L",37,980
62,1,"W",55,1186
63,1,"L",2,1553
63,2,"L",48,1382
63,3,"D",49,1291
63,4,"L",43,1283
63,5,"L",45,1242
64,1,"L",22,1555
64,2,"D",30,1522
64,3,"L",31,1494
64,4,"D",49,1291
64,5,"L",46,377
64,6,"L",42,1332
64,7,"L",54,1270
